topic,times,text,quote,users
Books&Literature,17.02.2006,"Доброе время суток!У кого есть время, поделитесь информацией о своих любимых книгах, которые Вы читали в детстве или юности...Почему Вам полюбились эти книги?Перечитывали ли Вы их?А сейчас часто перечитываете?Александр. ",nan,Alex_Shadrinsk
Books&Literature,18.02.2006,"Ответ неплох...Ну тогда сосканируйте мне утраченные мной ""Приключения муравья Ферды"" Ондржея Секоры с ТЕМИ иллюстрациями.Если правильно знаю--это чешское издание с иллюстрациями автора. А без них--поверьте, и смысла никакого нет.Вот это:http://www.zin.ru/animalia/Coleoptera/rus/sekora.htmи в подметки не годится. Мне даже странно тогда было: как кто-то просто осмелился иллюстрировать эту книгу, зная о существовании ТЕХ... ",nan,Инклер
Books&Literature,19.02.2006,"Это не моя любимая книжка, а ваша. ",nan,amyatishkin
Books&Literature,21.02.2006,"Во-во, они.Иллюстрации Лады для Швейка тоже не шедевры...а без них Швейк непредставим. Думаю, это все-же--рисунки автора. С такой любовью нарисовать, мог только автор. Или я ошибаюсь? ",nan,Инклер
Books&Literature,29.05.2014,"Несколько мыслей вслух... Было бы наверное очень неплохо собрать в Библиотеке Вадима Ершова старые советские учебники 60-70 годов. Кое-что есть в сети, но разрозненно и с невысоким качеством обычно. Например, книги для чтения ""Родная речь"" для 1-4 классов (кто постарше, помнит эти книги, там на обложке репродукции картин ""Рожь"" (Шишкин), ""Богатыри"" (Васнецов) и другие). Учебник ""История древнего мира"" Коровкина, ""История средних веков"" Агибаловой и Донских. Все учебники математики 70-х годов: Математика-4, Математика-5, Алгебра-6, Алгебра-7, Алгебра-8, Алгебра и начала анализа 9-10, Геометрия 6-8 под редакцией Колмогорова ",nan,Alex_Shadrinsk
Books&Literature,12.09.2017,переиздание учебников начальной школыhttp://rossaprimavera.ru/news/c6d15ef5,nan,AAW
Books&Literature,18.12.2017,"Да... было время, когда конституционный принцип отделения церкви от государства (а, значит, и от системы образования), ещё не был пустым звукомИ тогда ещё печатались такие учебники: Веселов Є.О. Основи дарвінізму: підруч. для 9 кл. серед. шк. / Є. О. Веселов. – Вид. 5-е. – К. : Рад. шк., 1961. – 203 с. – 0,35.     Блин!На дворе 1962-й год, а мичуринское учение продолжает почивать на ""лаврах""!Уже, кагбе, подзасохших Ну и по-прежнему ""на коне"", ""народный академик"" Трофим Денисович Лысенко...Походу.За всю свою жизнь не встретил достойно написанной биографии Лысенко.Есть, конечно:Сойфер В.Н. Власть и наука. Разгром коммунистами генетики в СССРи его же ""Красная биология. Псевдонаука в СССР"".Есть противиположная точка зрения, изложенная Сигизмундом Мирониным в ""Деле генетиков"".Но хотелось бы почитать его полноценную (и полновесную) биографию, причём написанную не по лекалам ЖЗЛки, а, скорее в духе жизнеописаний Цвейга. ",nan,LoxNessi
Books&Literature,18.12.2017,зачем? зачем читать полновесную биографию Лысенко?,nan,densen2002
Books&Literature,18.12.2017,"@ LoxNessi@ densen2002Как и всё в истории, было всякое...https://www.youtube.com/watch?v=Gr3MJKdQz-4...простите за оффтоп. ",nan,slava_kry
Books&Literature,26.06.2012,"Вот чего сегодня нашел:Старая журнальная фантастикаВспомнилось, как в школе читали повесть ""Дрион покидает Землю"", брали друг у друга номера газеты ""Пионерская правда"". Вообще, мне задумка издательства импонирует. ",nan,nbl
Books&Literature,29.05.2014,"Доброе время суток! Я тоже читал в ""Пионерской правде"" эту повествушку ""Дрион покидает Землю"". На мой взгляд, очень слабо написано. Даже тогда, при дефиците фантастики и малом возрасте читателей, показалось халтурой. ",nan,Alex_Shadrinsk
Books&Literature,02.08.2019,"Да так оно и есть не так давно сталкивалась с этим ""чудом"" раньше казалось даже лучше. ",nan,Silka
Books&Literature,23.01.2011,"я вот тут посмотрел - какая тьма серий научно-популярной литературы, журналов и просто научно-техническойвыходила в 1950-1980-х годах.....Сотни серий, в том числе ежемесячных, в каждой из которых сотни книг по всем отраслям науки и техники.Отдельные серии для школьников, студентов даже были.сейчас совсем скудно с этим почему-то стало, очень мало научно-популярной литературы выходит.так что очень полезное дело делают энтузиасты - сканировщики/оцифровщики старых книг ",nan,Dmitry7
Books&Literature,23.01.2011,"Давненько мысль посещала - не отсканить ли ежегодные справочники серий? Никто вот пока не интересуется ими. Да и достать трудно - справочная литература для внутрибиблиотечного пользования. Примерно с 1950 года выходили, а с конца 70х - печатались с машинных носителей, по идее должны бы уже быть доступны где-то на компьютерах. Но не попадались. Когда БЮК и ЗиУ собирал, они мне сильно помогли составить списки. ",nan,AAW
Books&Literature,24.01.2011,Будут сканы - обработать недолго. ,nan,Lykas
Books&Literature,24.01.2011,"хорошо, я попробую договориться. ",nan,AAW
Books&Literature,08.08.2006,"Расскажите о литературных форумах, на которых Вам приходилось бывать...",nan,nadezhda
Books&Literature,09.08.2006,"Ну...на Альдебаране и у Мошкова. Знаете главную проблему? Не поверите. ""Патриоты""Это сообщения, написанные, как правило, довольно безграмотным языком и преисполненные чувства собственной знАчимости. Иногда навязчивые советы о прочтении той или иной книги, либо классики, либо русской. Об обсуждении Донцовой, к примеру, часто и речи идти не может.Всегда--непомерное восхваление России, во всех её ипостасях, кроме текущей инкарнации, конечно.Узнаёте персонажей? ",nan,Инклер
Books&Literature,09.08.2006,"Инклер, да, это серьёзно. Более легкое общение, мне кажется, существует на форуме ""Литературные разговоры"": http://love-is.ru/forumdisplay.php?f=16 ...Но, там могут быть проблемы с малой культурой подрастающего поколения. ",nan,nadezhda
Books&Literature,19.02.2018,Что это сверху? кто-то упал на клавиатуру и отправил сообщение? ,nan,Владислав
Books&Literature,10.09.2012,"Небольшое исследование серии ""Научно-популярная литература"" (издательство ""Наука"")Серия основана в 1931-1932 гг. Вначале не было подсерий, и оформление обложек выглядело примерно так:     с начала 1950-х гг. установилось оформление обложек такого типа:    с 1958 по 1968 гг. на обложке стали ставить значок и сами обложки стали более красочными, например:    с 1968 г. появилось множество подсерий (при этом собственно ""Научно-популярная серия"" осталась, а также выходили и книги в таком же оформлении без указания подсерии.)Оформление вплоть до 1983-1984 года стало таким: (разделение на 3 зоны: верхняя и нижняя одного определенного цвета, в середине - картинка по теме книги)    С 1983 г. оформление подсерии ""Проблемы науки и технического прогресса"" поменялось. Появился логотип ""ПНТП"" слева вверхуА книги этой подсерии стали выглядеть так:    С 1986 года поменялось оформление всех подсерий ""НПЛ"", логотип стал таким:, а книги стали выглядеть так:(снова рисунок стал почти на всю обложку, как в 1958-1968гг.)    с 1989 г. логотип уменьшили, книги стали выглядеть так:   При этом вверху обложки писалось название подсерии.И, наконец, с 1996 года отменили вновь все подсерии, вся серия стала называться ""Научно-популярная литература"" (как при ее основании)сменился логотип на: ,и книги стали выглядеть так: ",nan,Dmitry7
Books&Literature,11.09.2012,"надо будет еще потом по отдельным подсериям посмотреть, сколько книг выходило ",nan,Dmitry7
Books&Literature,15.05.2016,Очень интересно ,nan,dfd
Books&Literature,04.01.2016,"Журнал ""Новости космонавтики"" на издыхании ((http://alien3.livejournal.com/1819391.htmlhttp://geektimes.ru/post/249302/см. комменты Цитата:Проблема не в бумаге, погибает система управления РФ и экономика.   Цитата:Да, ситуация очень грустная, в ОРКК и Роскосмос пришли люди не понимающие для чего нужен НК и какая от него польза. А НК это лицо нашей космонавтики, именно он, а не паблики Роскосмоса в соц. сетях.  и сайт их не открывается уже ","Проблема не в бумаге, погибает система управления РФ и экономика.  ",Dmitry7
Books&Literature,05.01.2016,"AAW, случайно стер Ваш ответ. Приношу извинения. Если несложно, повторите, пожалуйста ",nan,Dmitry7
