text,users,times,topic,quote
"Я знаю,что таких тем много. Но я говорю, про реальную проблему. Советы типа ""сходи в кино"", ""найди себе хобби"" уже не помогут. Проюлема началась больше года назад. Сеачала думала от работы устала, уволилась. Накупила витаминов, стала чем-то себя занимать и поняла,что стало ещё хуже. Апатия и нервозность одновременно, не понимание того,как люди радуются по мелочам. Мне интресно, кто лечился у психиатра? Когда мне терапевт посоветовала найти ""хорошего врача"" я немного смутилась и стала говорить:""Я не псих!"". Но понимаю,что так жить нельзя. Как вы нашли врача? по месту жительства или в клиниках? И каковы успехи?", Марго ," 17 сентября 2012, 10:47 ",Depression,
"господи, милая, какой психиатр?? вы о чем???и депрессии у вас нет.. ВЫ САМИ СЕБЕ ВНУШИЛИ..с ума не схоидте.. все нормально..не пей вы всякие успокоительные и прочее..взяли моду в депрессии впадать...", гость ," 17 сентября 2012, 11:06 ",Depression,
+100000000000000000, Гость ," 17 сентября 2012, 11:08 ",Depression,"господи, милая, какой психиатр?? вы о чем???и депрессии у вас нет.. ВЫ САМИ СЕБЕ ВНУШИЛИ..с ума не схоидте.. все нормально..не пей вы всякие успокоительные и прочее..взяли моду в депрессии впадать..."
"В инете полно объявлений о психологической помощи. Сходите на прием, проконсультируйтесь. А потом уж заявлейте, что у вас депрессия!", 0 ," 17 сентября 2012, 11:13 ",Depression,
А что у вас с личной жизнью?, Гостья ," 17 сентября 2012, 11:16 ",Depression,
"вообще депрессию диагностирует невропатолог ( у меня мама работает, так они даже в стат. талонах ставят номер болезни по классификатору и расшифровку - депрессия). я к врачам не обращалась, пила сначала афобазол, глицин по 3 раза каждый, потом растительный какой-то на ""р"", потом уволилась, 3 месяца отсыпалась только, был реальный упадок сил, была дико злая, раздраженная, ничего не радовало, спорт не помогал, потом съездила на море, вот оно-то меня и вытащило из депри!!! т.е. смена обстановки - солнце постоянно, доброжелательные люди и т.п., я тебе желаю вытащить себя из этого состояния, у меня приятельница глицин форте принимала, ей он помог, и не стесняйся сходить к невропатологу, пропишет медикаменты, может у тебя на фоне чего-то депрессия (гормоны или ещё что).", Ляля ," 17 сентября 2012, 11:41 ",Depression,
"от наличия или отсутствия личной жизни не зависит, у меня парень-ангел, однако раз 5 за этот период его чуть не бросила, скандалила и была постоянно недовольна, слава богу он все вытерпел", Ляля ," 17 сентября 2012, 11:42 ",Depression,А что у вас с личной жизнью?
"Психиатром тут не пахнет. Ваш терапевт - дура(к), раз посоветовал(а) психиатра. Вообще депрессию надо лечить! Затяжная депрессия приводит к ее хроническому течению и лечить ее становится сложнее. Поэтому вам нужно идти психотерапевту. Это не психиатр, это врач..который вам объяснит, что с вами происходит и выпишет препараты для лечения депрессии.", Гость ," 17 сентября 2012, 11:42 ",Depression,
"Вам нужен не психиатр, а психотерапевт, звучит лучше, не правда ли?)", Гость ," 17 сентября 2012, 11:48 ",Depression,
посмотрите на сайте b17. ru, Гость ," 17 сентября 2012, 12:07 ",Depression,
"Сделайте исследования всех гормонов, в том числе серотонина - гормона счастья.Эндокринолог как раз посмотрит как у Вас с йодом, велоятон не хватает, так как нервная и уставшая. Вы пишет таблетки и все нормализуется.Обязательно начните ложиться спать в 22.00 и вставать в 6-7 утра. Те, кто подно ложится, не спит достаточно, сидит в интернете как чумовой, часто жалуются на такое состояние как Ваше.Не спешите антидепресанты пить - они влияют на печень сильно. Постарайтесь в первую очередь наладить режим - вовремя ложиться, вовремя вставать, завтракать, обедать, ужинать не позже 7 вечера, гулять не меньше часа. Займитесь спортом, движение дает больше кислорода органам и тканям, благодаря более веселому вращению крови в организме.Вы чистите всю квартиру, пропотейте хорошо, депрессия обычно выходит с потом человека - тайнцуйте, лучше латино-американские танцы, очень помогает.", Гость ," 17 сентября 2012, 12:46 ",Depression,
