users,times,text,quote,topic
 Автор ," Сегодня, 18:38 ","Что за дурацкое понятие ""Голодный студент""? Голод это ненормально ни на каком жизненном этапе! Если нет возможности прилично жить во время учёбы, нечего и рваться туда, надо идти зарабатывать себе на жизнь. Максимум вечерка/заочка. А безденежным родителям, которые капают на мозг своим детям, требуют диплома еще и на очном отделении ,но содержать их во время учебы не могут, нужно просто вправляьь мозги, напоминать что им ВО не помогло чего-то в жизни добиться. Нищий родитель - считай не родитель вообще. Какое право имеет рот раскрывать?",,Education
 Гость ," Сегодня, 18:52 ","Опять тупая разводка. Скучно. Автор, иди на пиcю бегемота.",,Education
 🐸 ," Сегодня, 18:53 ","Видимо с родителями у вас не хорошие отношения. Мне родители сколько пытались помогать и деньги давали, я никогда не брала. Сама училась и искала подработки, но чтобы брать деньги у пенсионеров с их маленькой зарплатой мне не хотелось. Ещё им помогала не финансово, но продуктами и лекарствами.",,Education
 Alex111 ," Сегодня, 18:54 ","> Что за дурацкое понятие ""Голодный студент""?Понятие справедливое в том смысле, что студенты часто не живут с родителями, и нередко не уделяют времени готовке, питаются как попало и кое-как.А во-вторых, студенты, даже из обеспеченных семей, не всегда располагают значительными ""свободными"" деньгами, а если есть что, могут копить или тратить, но не на еду. Т.е. нажористый обед или ужин в ресторане позволить себе не могут.",,Education
 Гость ," Сегодня, 19:02 ","иди сараи чистить , кухаркина дочь",,Education
 Гость ," Сегодня, 19:05 ","Смотря какое ВО. Если вы нормальный ВУЗ закончили то это ещё как поможет вашей карьере. У меня среди друзей полно тех кто во время учебы были теми самыми голодными студентами, но учились в хороших ВУЗах типа МГУ, МГТУ, МАИ и т.д. Подрабатывать начали ещё во время учебы, а сейчас в топ-менеджменте крупных организаций или со своим бизнесом и соответствующим доходом. Вообще нужда очень мотивирует на подвиги))",,Education
 Автор ," Сегодня, 18:32 ","Гуманитарные профессия это фигня полная Имею ввиду специальности типо социальная работа, психология, менеджмент, управление и тп(не включая юриспуденцию). специальности, по которым фактически устроиться в нормальное место почти нереально. Попробуйте найдите на хедхантере вакансии с нормальной зарплатой психологов или социологов? Если и есть то единичные, а выпускников миллионы. Часто говорят что люди не работают по специальности... это печально для тех, кто неглупый, старался, учился, особенно в престижных вузах. получается столько усилий, а ради чего? для общего развития?Теперь попробуйте набрать ""инженер,"" ""программист,"" ""бухгалтер,"" "" юрист"", выскочат десятки тысяч вакансий, да по разной цене и разным требованиям, но они есть, и их немало.Кстати это особенно важно для тех, кто собирается зарубеж. Гуманитарные профессии это почти НОЛь, причем дело не в российском дипломе и не престижности российского вуза, а в специальности. здесь ценятся знания, причем конкретные. инженер, программист, медицина, наука.По сути все гуманитарии ищут работу среди административного персонала, как секретари, ассистенты, помощники и тп... к сожалению престижный вуз не переместит в инженеры и врачи... почти любой сможет работать ассистентом-секретарем, а вот инженером или врачем нет.Сотрудники отделов всегда считались специалистами, например финансисты, бухгалтеры, экономисты,юристы, врачи . у некоторых образование было из простых-обычных вузов, а вот им ""ассистировали"" вот такие умные гуманитарии из МГУ или МГЛУ и зарплаты были соответствующие.Это я все к чему. У самой диплом психолога (в хорошем вузе, на бюджете) и до сих пор не покидает мысль, что я никто и профессии нормальной у меня нет . Ведь по факту работаю админом на ресепе,пока всякие бабенки с дипломом шарашкиной конторы, а которых они платно учились занимают руководящие места.. Вот думаю на счёт 2 высшего по экономике, но стоит ли оно того или податься в кадровики, но там нужно юридическое ..",,Education
 Великолепный Вася ," Сегодня, 18:47 ","Можете совершить теракт и бежать как политбеженец, вас примут за рубежом даже с гуманитарной профой.",,Education
 Автор ," Сегодня, 18:48 ",Завезите блог и продавайте курсы,,Education
 гость с прошлого ответа ," Сегодня, 18:49 ",Заведите *,,Education
