topic,times,text,users,quote
Family&Relationships,,"Как считаете, что может сохранить семью, когда люди постоянно ругаются? Моя подруга, она меня старше на пять лет, уже замужем три года, но что-то последние полгода они постоянно ругаются. Дело идет к разводу и она узнает, что беременна и врач говорит, что после аборта вряд ли еще будут дети. А ведь все говорят, что ребенком семью не удержать. Тогда чем?",,
Family&Relationships,," У меня подруга тоже была на грани развода. Пока не сделала одну вещь. Она просто перестала ругаться и все. Он заводит, а она не отвечает. Абстрогируется и уходит читать или тв смотреть. Он орет, а она спокойно ему говорит ""Ты хочешь поругаться? Выбери кого-нибудь другого, у меня настроения нет."" Ну что на такое ответить? Потом с юмором вспоминали как им удалось сохранить семью и придти к взаимопониманию.",,
Family&Relationships,," Считаю, что ребенка надо рожать. Если семья не сохранится, то хотя бы ребенок останется у женщины. Мне кажется, что это великая трагедия не иметь возможность стать матерью.",,
Family&Relationships,," Согласна с Симпатягой, в любом случае ребенок - это счастье! А там возможно и все наладится после его рождения? Мне кажется, что можно рискнуть, при самом плохом раскладе ваша подруга останется уже не одна - а это тоже важно.",,
Family&Relationships,," Согласна со всеми. Надо рожать. Родит, может всё и наладится. Да и ругаться времени не будет. Будет ребёнком полностью занята.",,
Family&Relationships,," Ругаются те, кто доказывает свое превосходство. Тут люди должны в себе разбираться, зачем она или он хочет быть ""выше"". Но как правило наши партнеры это наше отражение. Ребенка конечно нужно оставлять. Жизнь очень переменчива. Сегодня сложно, завтра легко. Главное не бояться!",,
Family&Relationships,," Просто нужно проще относится к некоторым вещам, все проблемы и ссоры из за пустяков обычно.",,
Family&Relationships,," Поменять обстановку, организовать встряску. Полейтайте не знаю на воздушном шаре, сходите куда нибудь где еще не были, или съездите, если бюджет позволяет. В вашем, как и в другихз подобных случаях, просто приелась окружающая среда, заел быт. Включите фантазию, покреативьте в конце концов.",,
Family&Relationships,," Возможно, что ваша подруга и ее муж являются оба лидерами. Где-то я читала, что весь мир делится на ведомых и ведущих, лидеров и ... на тех, кто согласен чтобы им командовали. Но это не значит, что эти люди, которые не являются лидерами -слабаки и подкаблучники. Чаще всего это творческие люди, которым просто не нравится решать все эти неприятные вопросы и они решение этих вопросов оставляют за лидерами. Ну, а лидеры соответственно, это прирожденные начальники и руководители. Самый идеальный вариант это когда встречаются ведомый и ведущий. Каждый из них делает свое дело и никто не претендует на ""чужую территорию"". Если же встречаются два ведомых человека и начинают совместно жить, то каждый из них пытается переложить ответственность на чужие плечи, и никто ни за что не хочет отвечать, такие отношения обречены. Если же встречаются два лидера, то они постоянно начинают ругаться за право первенства так сказать. Конечно, такие люди смогут прожить всю свою жизнь друг с другом, но в постоянных скандалах. У моей подруги, мать и отец были оба лидерами, да они прожили всю жизнь друг с другом, не разводились, но моя подруга сказала как-то что было бы лучше, если они не мучили друг друга и развелись. Вот так-то! Это сказала родная дочь! А вообще-то лучше проконсультироваться у психолога по поводу постоянных скандалов, возможно причина кроется, например, в плохих жилищных условиях или еще в чем-то. Если они выяснят причину своих споров и решат свою проблему, то жизнь наладится.",,
Family&Relationships,," Я с мужем в свое время отношения наладила, походив к семейному психологу и почитав книгу про пять языков любви. Мы оба стали делать друг другу что-то приятное. как там и рекомендовалось - и постепенно отношения сильно улучшились.",,
