topic,quote,text,times,users
Family&Relationships,,"Тетиньки ,привожу несколько причин почему у мужа не стоит1.Гляньте на себя в зеркало и подумайте вот о чем -если мужа морально еще можно заставить что то там изобразить,ввиду его лоховской зависимости от вас,то член,он зараза такой,встает только на то что его возбуждает.Значит -не возбуждают рыхлые телеса ,вялые телодвижения и т.д.2.Давно пользует другую,моложе,стройнее и покладистей3.Если муж бухает.Ну вы же говорите что пиво каждый денгь гекалитрами и стакана три водяры каждые выходные -это не алкоголизм.Вот если ,,не"" ,то и в постели тоже ""не"",если даже первые два пункта отсутствуют.Ну а если все вкупе -печалька.4.Выносите мозг пореже ,от выноса мозга потенция уменьшается ,а можно еще в щи получить5.Если вы наказываете постелью периодически -будте готовы,что накажут и вас5.Почаще включайте свет при сексе и попробуйте хотя бы не через дырку в простыне.Основное. Тут дафига нюансов.Лень писатьНу и конечно же автор троль сука,у него не стоит,он злой,ему не дают ,он сволачь редкая,написал какую то ,, чюшь"" ,жена бросила,алиментщик и просто скатина )",,
Family&Relationships,," Интересные доводы))Но вообще,могут же быть и со здоровьем проблемы,как у моего мужа было.Сейчаспринимает эффекс трибулус при ЭД, либидо растет, жизнь налаживается) в том числе и благодаря вашим советам,пусть и таким не ординарным))",,
Family&Relationships,," прямо с языка сняла,это действительно работает причем без побочных эффектов.",,
Family&Relationships,, просто для женщины это не такое уж и наказание.,,
Family&Relationships,," Сходите к сексологу, попробуйте разнообразить свой секс. Купите какой-то крем для потенции, например детонатор.Поработайте над собой в конце-концов. Возможно проблема не в мужчине, а в вас.",,
Family&Relationships,, Может нужно завести хотябы виртуальный роман для себя и тогда муж обратит внимание на вас),,
Family&Relationships,," А я почти со всем согласна. В погоне за своими мужчинами, мы часто забываем о себе. Тогда и начинаются серьезные проблемы.",,
Family&Relationships,," Девочки, мы же для мужчин поддержка, и должны быть рядом всегда и в любых ситуациях. Я Вам советую Строндекс, вообще отличный препарат, это не таблетки, а спрей, его нужно брызгать под язык и результат уже будет через 25-3 минут. Мы с мужем его используем, теперь никаких проблем нет. Так что пробуйте и наслаждайтесь.",,
Family&Relationships,," Насколько же надо быть е...тыми,чтоб прочитав тему, думать что медикfментозно можно это решить?",,
Family&Relationships,," Впечатление, будто тему мдшник создал... Ага, ведь вы-то, мужчинки, такие все замечательные всегда) Может, Наглец, в зеркало на себя сначала глянешь, и подумаешь, охота ли ради такого расфуфыриваться да свет включать?)) Это ж надо было специально зарегистрироваться на ж. форуме и вещать незыблемую истину ",,
Family&Relationships,," да уж, прочитала, смеялась полчаса. Интересно, а некоторые мужчины не пробовали на себя в зеркало смотреть?Отрастят пузо, так что женщина такого бегемота сама не хочет, аж противно на таких смотреть. А ведут себя как мачо))) А вообще если у мужчины не стоит, то причина может быть вообще не в женщине а в нем самом. Мне подруга по секрету сказала, что они с мужем решили эту проблему с помощью эронестила. Пропил курс и теперь проблем в постели нет.",,
Family&Relationships,, Скорее всего причины в другом. При стрессе у мужчин проблема с потенцией. Надо попробовать принимать экстра силу доктор море. Тогда сил хватит на все.,,
Family&Relationships,," Думаю, что импотенция-вещь серьезная. Поэтому без лекарств не обойтись... А на народные средства полагаться-только себя гробить. Лучше убедите мужа сходить к врачу, это очень важно...мой вот при импотенции принимал по его рекомендации эффекс трибулус и на курсы электрофореза ходил. Вот только так и удалось сексуальную жизнь в порядок привести)",,
Family&Relationships,," Пусть идет к врачу, это же в его интересах. Тем более 21 век на дворе, есть таблетки разные.",,
Family&Relationships,," Мужчины ищут способ, который позволит не только улучшить потенцию, но и продлить половой акт. Ведь невозможно чувствовать себя уверенно, если знаешь, что секс продлится недолго. Во время акта приходится отвлекаться, чтобы не финишировать раньше партнёра.Эмоциональная дистанция снизит удовольствие от процесса в разы. Современный способ решить эти проблемы — препарат hps://soe.divojoy.com/clog/cilis/vidlis-2-mg/",,
Family&Relationships,,"У нас давно назревал развод, но всеми силами я пыталась сохранить нашу семью.У нас 1 лет совместной жизни и в горе и в радости, двое прекрасных деток, одному всего лишь годик, у нас ипотека, совместные все знакомые.Я не знаю как мы будем общаться с НАШИМИ друзьями отдельно, как я объясню старшему, что папа не придет домой, как младший будет расти без отца, как я справлюсь с ними, будучи в декрете и без опыта работы за все эти годы, как мы будем делить НАШУ квартиру, продавать то, где мы пять лет делали ремонт, покупали мебель. У меня нет других интересов, вся моя жизнь - это ОН и наши детки.Сегодня он собрал вещи и ушел. Если бы не дети, я бы покончила с собой. Но кроме меня они никому не нужны. Возникли мысли про приворот. Почитала много разных тем на разных сайтах. Вспомнилась история из жизни как у нас всем двором обсуждали престарелую мадаму страшную, которая увела от красивой жены красивого, умного и при деньгах мужчинку....все говорили, что приворожила. Это плохо, но я лишь хочу вернуть то, что было... МОЕГО мужа, не чужое счастье.Кто делал? На сколько реально? Как правильно найти специалиста? Какие последствия возможны? Обратилась в Битву экстрасенсов к одному из участников (не буду давать рекламу или анти рекламу), но там цены больше, чем я могу себе позволить и потому пришлось отказаться. Обязательно ли за эту услугу большая цена? Есть хоть кто-то, кто правда сталкивался и правда помогло, то как это было?",,
Family&Relationships,, Простите за большое количество вопросов. И если что не правильно задаю. Никто мне не хочет отвечать. Я простоне очень умею пользоваться вашим сайтом. Я к вам с другого перекочевала где меня обозвали последними словами за мою идею.,,
Family&Relationships,," По рекламе в нете или из газет лучше не обращаться. 9% это развод на деньги. Я в свое время прошла кучу мошенников.К специалистам из""Битваэкстрасенсов"" я не обращалась, но были мысли, потом нашла по инету куча отрицательных отзывов.Это шоу, а значит гарантии правдивости, а не постановки нет.Обычно ищут бабушек по селам. У менчя был не удачный опыт. Каталась за 5 км, а толку ноль.Обращалась по совету знакомой. Такие люди обычно не рекламируют себя, а рекламу делают те, кому они помогли. Мне так же помогла, делала по фото и муж вернулся. Зомби не стал, как часто спрашивают, скорее это появился второй шанс на отношения.И я не одна такая, которой помогли. Если пошарить по форумам, то куча разных историй. У меня все удачно сложилось, но и моей работы в этом много, я исправила свои ошибки и стала больше ценить отношения. В том, что не совпадение уверена, так как резкие были перемены к лучшему в уже,казалось, полностью безвыходной ситуации, с разводом и прощальными речами.Плата была не большая, сумму называть не буду, но это не те космические цены, которые у пропиареных ""магов"". Я не могу с уверенностью сказать, что знаю сколько должна стоить услуга, но лично для себя убеждена, что от цены принципиально не будет зависеть качество.",,
Family&Relationships,, ответ здесь,,
Family&Relationships,," Мое имхо, ушел и скатертью дорога, но если вернется надо принять, дать шанс на исправление но один, а то решит что это так и должно быть. По секреты это было у моих родителей. Папа с нами и по сей день.",,
Family&Relationships,," Приворот?? Т.е. вы хотите, чтобы он не любил вас, а просто был привязан? Вы вообще понимаете, что это не любовь, а слом воли? Ломать волю тому, кого ""любите""?? Да не любите вы его, вам просто удобно его присутствие рядом. И ушел он не просто так, значит.Я знаю действительно стоящих практиков, работающих с клиентами, но для такого дела даже не стану давать контакты. А если будете искать и попадете на недопрактика, то мне вас безумно жаль, потому что они все делают криво и если ляжет криво или уже есть приворот и наложат на него - бедный мужик, врагу не пожелаешь, а если не ляжет или найдется тот, кто снимет приворот - вам такой откат будет, что мало не покажется. А о детях не думаете? На них отразится, потому что все подобные магические действия и откаты отзываются вниз по крови. И будете потом вопрашать - ""а за что детям и мне такое?""",,
Family&Relationships,, Если пришло время расстаться - пусть уходит. Привороты всякие - это лохотрон)),,
Family&Relationships,," Приворот - это страшно, меня в свое время привораживал 1 ухажер, ехала сломя голову, но не хотела быть с ним, очень странная реакция была. В итоге он ничего не добился, была знакомая, дала мне молитву, как снять.",,
Family&Relationships,," Приворот молитвой не снимается. Либо это был не приворот. Подчинение воли, например. Но и оно молитвой не снимется",,
Family&Relationships,," Нельзя так, у вас тоже должны быть свои интересы, хобби, работа или что то еще. Когда мужчина чувствует что он ""все"" дляженщины у него пропадает интерес к ней со всеми вытекающими",,
Family&Relationships,," История это долгая, уже не так все хорошо помню, та знакомая не знала ничего о моей личной жизни, но описала его полностью и сказала, что пытался приворожить. Может и не удалось, но почему-то к нему ехала, а потом передергивало аж. Молитва - не мовсем молитва, какой-то сон богородицы",,
Family&Relationships,," У подруги так вот ушел, потом снова пришел, она приняла и живут отлично.",,
Family&Relationships,," От приворота только хуже будет и вам и ему. Еще ни разу не слышала, чтоб после приворота люди хорошо жили. Вместе - да - но не счастливо и хорошо.",,
Family&Relationships,," Главное, чтобы потом старые обиды не начали всплывать",,
Family&Relationships,, шанс на исправление? люди не меняются на мой взгляд.. ну вот совсем не меняются..,,
Family&Relationships,," А я не согласна, может какие-то черты с детства на всю жизнь, а так люди меняются с каждым годом. Не меняются только глупые люди, а умные - думают и меняется их мировоззрение, точка зрения и соответственно мозги и поведение в целом.",,
Family&Relationships,," если его принять и ждать, что он поменяется, будет в итоге еще больнее.",,
Family&Relationships,," Ну если одни раз, то простить можно, но часто можно слышать, что женщины прощают много раз, мне кажеться вот это уже не правильно. Мужик уже просто привыкает, и пользуется заем такой нужен.",,
Family&Relationships,," Мне тоже помогла женщина, делала обряд на верность и муж вернулся в семью и перестал гулять. И тоже контакты брала у знакомых.",,
Family&Relationships,," приворотом здесь не помочь, берите секатор",,
Family&Relationships,," Я тоже обращалась к одной женщине, которая занимается магией, сомневалась - делать приворот, не делать. Она сказала - раз думается - то не надо, сделаем молитвенный обряд на восстановление чувств, гармонию в семье. Воля подавляться не будет, просто Бог будет человека наставлять на путь истинный и вселять в его душу чувство любви, верности, уважения, будет угождать тебе вплоть до самопожертвования. Но говорит, глумиться и куражиться нельзя над этим, потому что Бог благословляет людей на счастье лишь в том случае, когда они хотят приносить друг другу радость, а не когда ты хочешь, чтобы он был твоим рабом. Вот так у нас и получилось тихое спокойное семейное счастье, а не африканские вспышки страсти как в кино.",,
Family&Relationships,," считаю все эти привороты полным бредом, уж простите",,
Family&Relationships,," У приворота два варианта, либо это бред и разводилово, либо опасная магия. В первом случае потеряете деньги, во втором - огребете проблем на голову своей семьи",,
Family&Relationships,, ,,
