users,text,quote,topic,times
Rebbekk,"Девочки, очень хочу научится делать перманентный макияж.Я работаю совсем в другом направлении и очень далеко от мира красоты )) но так хочется что-то поменять в жизни.Для начала я определилась чем бы хотела заниматься, но очень много разных страхов сейчас в голове - а стоит ли, а смогу ли? Может посоветуете куда пойти учится в Москве и с чего начать?",,Job,12 ноя 2016
 Серсея," Правильно рассуждаете, меня в свое время подтолкнула на мысль об обучении татуажу подруга. Давно в этой сфере, клиентов достаточно, многие идут уже по рекомендации. Посмотрите школу-студию Инги Бабицкой, находятся на Таганке. Что касается материалов и оборудования, то мне все материалы мне выдавали, а оборудование понятно их было, надо же было на чем-то учится. Потом уже, это я вам так на будущее говорю, оптимальнее всего будет посоветоваться с мастером, у которого будете обучаться, потому что каждый материал подбирает ""под себя"". В общем там уже сориентируетесь. ",, Job, 12 ноя 2016
 Rebbekk," Спасибо за совет. Все вроде хорошо, но то, что профессиональная школа немного пугает.. Меня там не съедят мастера? Я ведь реально самоучка и много чего не знаю.. Как бы не опозориться на занятиях... ",, Job, 12 ноя 2016
 Серсея," Нет, ну что Вы, это совершенно неважно мастер Вы со стажем или самоучка. Люди приходят самые разные, просто у всех есть желание учиться, и стать мастерами в своем стиле. Я осталась довольна обучением у Бабицкой, руку уже набила, клиентов много есть, приходят уже по рекомендациям клиенток, которым я делала татуаж ранее. Так что, главное желание научится, а дальше дело техники. ",, Job, 12 ноя 2016
 Rebbekk," Конечно по перманентному макияжу в Москве школ полно, с этим я не спорю, но хотелось услышать рекомендации от людей которые сами непосредственно закончили курсы и остались довольны и преподаванием, и преподавателями. Надо же иметь представление какую школу и по какому принципу выбирать. ",, Job, 13 ноя 2016
 Поэтэсса," Я обучалась в этой школе. Чем более широк будет спектр твоих услуг, тем больше будет у тебя клиентов. На месте никогда стоять не стоит. Я проходила обучение, повышала квалификацию. Хороший подход к работе, индивидуальное обучение, практиковались на живых моделях. В принципе по времени на это уйдет немного, главное что после работы выдают всё необходимое: дипломы, сертификаты, так что смело можно будет приступать к работе. Думаю вам будет не сложно освоить новые навыки. Рука ведь уже поставлена, а это самое главное.",, Job, 18 дек 2016
 Серсея," Перед индивидуальным курсом в этой школе идет базовое групповое обучение насколько я знаю. Там можно получить базу если вообще с нуля начинаешь и о перманентном макияже раньше только слышала. Группа получается не более трех человек, поэтому мастер успевает всем уделить внимание. ",, Job, 21 дек 2016
 Rebbekk," Не волнуйтесь! Все ученики находятся под контролем преподавателей, поэтому ничего опасного не произойдет. Во-вторых, это так свиду страшно все кажется, там руку набьете уже, потом спокойно можно будет с клиентками работать. Я как раз и проходила общий, базовый курс, 6 дней в школе Инги Бабицкой Информации очень много- и по колористике, и по технике на разных областях, по уходу. В конце экзаменационная работа, без успешной сдачи сертификат не выдадут.  ",, Job, 30 янв 2017
 Поэтэсса," Ищите “золотую серединку”. Может у своих клиенток поспрашивайте, которые делают перманентный макияж. Хорошая работа - это показатель, что мастер знает свое дело. Сама сейчас прохожу курсы, я на индивидуальном обучении, так намного лучше воспринимается материал. ",, Job, 31 янв 2017
 Rebbekk," У меня еще несколько вопросов. Где они находятся, и еще диплом дают по окончанию? С материалами как, свои надо иметь? Свое решения я уже обдумала хорошо, знаю что это серьезно, и здесь нельзя допускать ошибок, так просто не исправить.",, Job, 25 фев 2017
 Гость," Знаете, чтобы более глубоко познавать азы в своей профессии. Обратите внимание, чтобы при обучении давали сертификат. Я в свое время закончила школу-студию перманентного макияжа, она достаточно солидная, материалы себе заказывала все материалы сама из америки, все лучшее.",, Job, 25 мар 2017
 Настя Перенец, Гугл в помощь),, Job, 25 мар 2017
 Серсея," Вы этим хотите на жизнь зарабатывать, или так, для себя? Там же надо и инструменты разные покупать и оборудование… Что про обучение можете рассказать? Сложно или нет? Все таки мастер по перманентному макияжу довольно-таки кропотливая профессия, по долгу сидеть на одном месте и чтобы всё аккуратно вышло. "," Не волнуйтесь! Все ученики находятся под контролем преподавателей, поэтому ничего опасного не произойдет. Во-вторых, это так свиду страшно все кажется, там руку набьете уже, потом спокойно можно будет с клиентками работать. Я как раз и проходила общий, базовый курс, 6 дней в школе Инги Бабицкой igb.u. Информации очень много- и по колористике, и по технике на разных областях, по уходу. В конце экзаменационная работа, без успешной сдачи сертификат не выдадут.  ", Job, 20 апр 2017
 Поэтэсса," Вообще на курсах все вопросы обсуждаемы. Но важно понимать, что во всем нужно постоянно развиваться и повышать квалификацию. Поэтому рекомендую вам пройти повышение квалификации на курсах по губам. Время идет и все меняется, появляются новые материалы и методы. Я вот постоянно квалификацию повышаю. Чего и вам рекомендую. Если будут еще какие вопросы, спрашивайте. Все-таки работать мастером по пермаментному макияжу не только прибыльно, но и престижно",, Job, 21 май 2017
 Серсея," После окончания курса выдается ли какое-либо документальное подтверждение, что я обучение прошла? И сколько стоит обучение в школе-студии Инги Бабицкой? Правда я вот что не поняла, как долго длится обучение? Какие основы дают? Есть углубленное обучение?",, Job, 4 авг 2017
 Rebbekk," Я на них прежде всего территориально обратила внимание. По цене тут зависит от выбранного вами курса. Можно прикинуть приблизительно то по чем. Располагаются около метро Таганская, минут 7 хотьбы пешочком. Мы ходили вместе с подругой. На курсы ПМ бровей, точнее мастер перманентного макияжа (в аппаратных и ручных техниках) . Занимались около недели, причем не только одна голая теория, практиковались много.  ",, Job, 15 сен 2017
 Серсея," В студии Инги Бабицкой нам по окончанию обучения еще вручили ручную манинулу, иглы для нее и пигмент) Пробовала потом на силиконовой коже еще дома. Думайте сами, надо ли это вам, потому что времени и денег на это уходит много, и главное наличие желания работать и делать все правильно!",, Job, 13 окт 2017
 Adelid," Главное наличие клиентов потом )) И желания развиваться. Конечно 7-8% работы специалиста по ПМ - это брови. Но вот от того как ты их сделаешь зависит то, посоветуют ли тебя подругам или наоборот подадут в суд. Я к Бабицкой на курс по бровям ходила, теперь могу и растушевкой и волосковым методом ,сейчас думаю на повышение квалификации идти.",, Job, 26 окт 2017
 Одеялко," Очень нужная тема. Перманентный макияж сейчас очень востребован. Хочу вот тоже обучиться на это дело все. Сколько это стоить будет и где в Москве есть хорошая школа, подскажите, пожалуйста! Что и как?",, Job, 6 ноя 2017
