topic,text,times,users,quote
Job,"Пришла после отличных выходных на работу, и с утра тут же поругалась со своим коллегой. Назовём его А. По проекту, над которым я работаю, мне дали из другого отдела правки, и я начала их вносить. Затем ко мне подходит коллега А. и говорит, что нужно помочь коллеге М. с его проектом, так как он до завтра не успевает. Я ответила, что я занята, что я итак уже ему помогла ещё в пятницу, что я не успею доделать свой проект, если буду ему помогать. В ответ я получила кучу оскорблений, что я медленно работаю, что я бестолковая, ничего не умею, что меня здесь быть не должно. Потом начался скандал и пошли угрозы, что он сделает так, что меня уволят, что они вдвоём работают на выходных и по ночам, а я нет и поэтому я лентяйка и должна во всем слушаться их, помогать им, терпеть и не перечить, ведь у них по 300 часов переработок. Я ответила, что это их личное желание работать по ночам, я не обязана, и если у них есть переработки, то пусть идут с ними в отдел кадров или к шефу. Я не чувствую себя виноватой из-за того, что я не работаю по выходным. Меня совесть не мучает, какие для этого причины? Я никакой благодарности не получила ни разу с тех пор, как помогала им, а как только отказала один раз - так сразу полились помои на меня, какая я ужасная. Пожалела, что не записала на диктофон те угрозы. Предложила ему самому помочь своему коллеге, на что тот ответил, что он тоже занят) Сказала, пусть решает это все через шефа. Шефа он так и не позвал. Он у нас типа за старшего, но на полноценного руководителя не тянет. Скорее выскочка и подхалим, самый общительный. Чуть что бежит ко мне за помощью. А я сегодня помогать отказалась, впервые за год. Терпение закончилось. Что делать дальше? С кем решать такие вопросы? Как быть с угрозами? #коллега"," Сегодня, 17:51 ", Автор ,
Job,"Поговорить лично, почему д.о.ё.б.ы.в.а.е.т.с.я этот человек. Больше вариантов не вижу. Если ты знаешь, кто пакостит - вперёд. Если не знаешь - наблюдай за ситуацией и мотай на ус"," Сегодня, 18:00 ", 95 ,
Job,"Был у мну знакомый, строитель, а я в то время в той же конторе проекты делал, так он мну раз по пьяной лавочке заявил ""Вот ты сидишь в чистом и ничо тяжелее мышки не поднимаешь, а я как лошадь кирпичи таскаю и получаю меньше тебя, поэтому ты мну обязан и ты должен покупать бухло за свои, а не вскладчину"" ахаха))"," Сегодня, 18:04 ", Великолепный Вася ,
Job,"он хочет чтобы я его во всем слушалась, как работать над проектом, он диктует свои правила, возражения не принимает, ведёт себя со мной грубо, со всеми остальными вежливо"," Сегодня, 18:07 ", Гость ,"Поговорить лично, почему д.о.ё.б.ы.в.а.е.т.с.я этот человек. Больше вариантов не вижу. Если ты знаешь, кто пакостит - вперёд. Если не знаешь - наблюдай за ситуацией и мотай на ус"
Job,"у меня тоже ощущение было, что я с гопником общаюсь, так резко переменился из вежливого подлизы в грубого мужика, а я сижу перед ним, девушка, ещё и младше, думаю, как не стыдно)"," Сегодня, 18:09 ", Гость ,"Был у мну знакомый, строитель, а я в то время в той же конторе проекты делал, так он мну раз по пьяной лавочке заявил ""Вот ты сидишь в чистом и ничо тяжелее мышки не поднимаешь, а я как лошадь кирпичи таскаю и получаю меньше тебя, поэтому ты мну обязан и ты должен покупать бухло за свои, а не вскладчину"" ахаха))"
Job,Хотеть-не вредно!," Сегодня, 18:11 ", Гость ,"он хочет чтобы я его во всем слушалась, как работать над проектом, он диктует свои правила, возражения не принимает, ведёт себя со мной грубо, со всеми остальными вежливо"
Job,"Я студент медицинского университета, учусь на стоматолога. Нужны были деньги и меня взяли в стоматологию обрабатывать инструменты. Всё делаю по правилам, использую индикаторы для проверки стерильности. Несу ответственность. Работала год, претензий не было. Конечно где-то были косяки, элементарный человеческий фактор. Что где-то воду забыла слить, где-то печать поставить что инструмент обработан. По мелочи ошибки делали. Но всё поправимо. Подружилась со всеми в стоматологии. Появилась подружка Ксения, она старше меня на 5 лет, замужем, ассистент хирурга. Решили они с мужем ребенка завести и сейчас она примерно на 6-7 месяце беременности. И всё бы ничего, пока её не убрали с ассистирование, тк слюни, кровь летят, а она беременная и перевели её в отдел обработки инструментов. Там спокойно, никто не торопит. Сидишь обрабатываешь, пробы ставишь, всё стерильно. А ТЕПЕРЬ БЛИЖЕ К СУТИ. Деканат издал"," Сегодня, 17:32 ", Оксана ,
Job,"Деканат издал приказ, что все должны присутствовать на мероприятии, декан будет, ректор, все старения под запись. Попросила коллегу подменить на работе на 2 часа на что она мне отказала и сказала что это мои проблемы и что если я её раз попрошу выйти вместо меня то она будет просить меня уволить и найти другого человека, который может всегда. Я её первый раз попросила"," Сегодня, 17:36 ", Оксана ,
Job,"Угу, всё понятно изложено.А какой вопрос?"," Сегодня, 17:59 ", Золотая Рыбка ,"Деканат издал приказ, что все должны присутствовать на мероприятии, декан будет, ректор, все старения под запись. Попросила коллегу подменить на работе на 2 часа на что она мне отказала и сказала что это мои проблемы и что если я её раз попрошу выйти вместо меня то она будет просить меня уволить и найти другого человека, который может всегда. Я её первый раз попросила"
Job,"Деканат издал приказ что студенты должны быть на мероприятии. Будет ректор, декан, всех студентов отмечать. Написала подруге чтобы подменить на 2 часа. На что она мне отказала и сказала что если я её ещё раз попрошу, то пойдет к начальству и будет говорить что ей такие приколы не нравятся и будет просить моего увольнения и чтобы искали нового ассистента. Я её первый раз попросила подменить. Потом другая ситуация: клиника закрывалась и я не оставила инструменты после приёмов в боксе, чтобы на следующий день обработали. Так делать можно. На слебкщиц день она мне написала что я оставила 4 лотка стоматологический + 3 лотка с утра было = 7 не стеснительных лотков. Начала мне говорить что она повоет к начальству и будет жаловаться чтобы меня уволили и чтобы искали другого ассистента. Дело в том, что я до этого работала со старшей медсестрой целый год и таких проблем не было. А сейчас она мне второй раз угрожает моим увольнением. Как думаете она мне подруга после этого? Думаю можно было бы нормально поговорить чтобы больше такого не повторялось. И стоит ли идти жаловаться к начальству? Или я только хуже себе сделаю?"," Сегодня, 18:04 ", Оксана ,
