text,quote,users,times,topic
"Поделитесь, пожалуйста кто где путешествует ?Ещё интересно все-таки сравнить сервис в России и за границей. Поделитесь своими историями из жизни путешественника будет интересно!",,Гость,21 мар 2019,Travel
" Пока что нашему сервису очень далеко от, скажем, европейского, к сожалению.",, Jsmiie, 1 июн 2019, Travel
" Везде, где есть что посмотреть)",, Golubk, 30 янв 2021, Travel
"Куда вы хотите поехать в отпуск? Я бы с удовольствием всей семьей в Турцию рванула, но ее, увы, закрыли. А куда поехать еще, чтобы было дешево и сердито, даже не знаю(((.",,Дарина,18 апр 2016,Travel
" Говорят, что на Кипр дешевле и на Крит тоже. Посмотрите эти варианты. Многие предпочитают Крым, но я посмотрела стоимость отелей и решила, что нет. Спасибо.",, Миленькая), 18 апр 2016, Travel
" Мы пока еще не выбрали вариант, но я хотела бы наверное в Грецию. Ни разу не была в этой стране, а очень хочется. Хотя и Италия тоже привлекает.",, Лаванда, 26 апр 2016, Travel
 Поедьте в Италию. Там не очень дорого. Отдохнете с семьей и красоту посмотрите.,, Lizz, 26 апр 2016, Travel
" В этом году серьезные проблемы у народы были с визами. В конце апреля не справлялись с объемом, из-за этого некоторые не успели на майские улететь. Рекомендую изучить ситуацию, прежде чем принимать решение"," Мы пока еще не выбрали вариант, но я хотела бы наверное в Грецию. Ни разу не была в этой стране, а очень хочется. Хотя и Италия тоже привлекает.", Deeb, 2 май 2016, Travel
" Да, я тоже слышала, что сейчас предлагают в основном как бюджетный вариант - Тунис. Правда после последних событий я бы опасалась, но почему бы и нет.",, Фиона, 2 май 2016, Travel
" Очень хочется в отпуск за границу, но с нынешним курсом доллара конечно сильно не наездишься.Именно по этому присматриваемся к местным курортам Скорее всего это будет август. Люблю отдыхать именно в этот период года.",, Мандаринка, 14 май 2016, Travel
" Я много куда хочу, но везде дорого. По бюджету на нашу семью, предполагаем, что сможем поехать в Грузию. Думаю, что это будет дешево и сердито. Только вот не знаю как восприму горячий местный народ).",, Сердцеедка, 19 май 2016, Travel
" Сейчас везде стало дорого. Как я понимаю, это связано с кризисом и со скачками валюты. А может быть еще и Крым наш продвигают. Чтобы не за границей люди деньги тратили, а внутри страны.",, Стервочка), 19 май 2016, Travel
" Вернулись недавно с Грузии, там прекрасно но цены довольно таки высокие, но за то какая там красота и климат можно простить все. По этому всячески рекомендую."," Я много куда хочу, но везде дорого. По бюджету на нашу семью, предполагаем, что сможем поехать в Грузию. Думаю, что это будет дешево и сердито. Только вот не знаю как восприму горячий местный народ).", Иришка, 19 май 2016, Travel
" Очень хочу в этом году поехать в Израиль, так как у нас безвизовый режим и там чистое море, тем более мне есть где остановиться, а это значит, что значительно сэкономлю на жилье.",, Лиана, 19 май 2016, Travel
 хочу в турцию ),, блонда2, 23 май 2016, Travel
 В Испанию хочу,, fil, 3 июн 2016, Travel
" В Крыму сейчас безумные цены, а уровень сервиса ожидает желать лучшего((",, Манка, 13 июн 2016, Travel
" Я была в Севастополе, когда он входил в Украину. Отдохнули хорошо, но сервис не понравился.",, Tli, 14 июн 2016, Travel
" В этом году еще нет, были в прошлом в Алуште. Чтобы вы представляли уровень цен: стаканчик мороженого 6-8 руб.",, Манка, 14 июн 2016, Travel
" Италию просто обожаю! Венеция просто завораживает. Пиза тоже обязательно стоит посетить, как бы стереотипно не было. Амальфийское побережье - чудесное место, горы, море, оттуда Помпеи и остров Капри. Правда не дешево конечно отдых обойдется, но он того стоит, запомнился навсегда, как и обещали в Туи. На днях друзья тоже полетели, только уже на побережье адриатического моря попроще и подешевле.",, ilik, 21 июн 2016, Travel
" Если есть на свете рай - это Краснодарский край ))) Уже несколько лет подряд отдыхаем там на косе Долгой, в этом году тоже собираемся в августе. Останавливаемся там на базе ""Казачий берег"". Море чистое и тёплое, на берегу мелкий ракушечник, база ухоженная, комфортабельные номера со всем необходимым. Очень нравится питание в ресторане по системе ""шведский стол"". И много развлечений для взрослых и детей, всего не перечислишь",, Relmccoy, 21 июл 2016, Travel
" Байкал, Азов, Золотое кольцо. Пока что такие варианты.",, Тирион, 24 авг 2016, Travel
 Мы в Турцию планируем съездить. Думаю у нас получится.,, NoKy, 24 сен 2016, Travel
" и я хочу в Турцию, по Стамбулу погулять, но отпуск еще не скоро следующий) может получится на выходные выбраться)",, Augusi, 24 сен 2016, Travel
 Этим летом в Геленджик или Сочи,, Meik, 16 окт 2016, Travel
