users,topic,times,quote,text
andrew_b,Books&Literature, 22 апреля 2011 г. 10:05   [нажмите здесь чтобы увидеть текст поста],,"В разделе, посвящённом фантастике, есть тема ""Помогите вспомнить автора или книгу"". Данная тема с аналогичной задачей посвящена нефантастической литературе.Помогите вспомнить две книги из моего детства.1. Повесть. ГГ -- школьник. Зовут Данька. Повесть начинается приверно так: ""Автандил Степанович сказал, что тот, кто закончит контрольную до конца урока, может быть свободен, и погрузидся в приключения майора Пронина."" Ещё помню такой эпизод: на уроке литературы Данька эмоционально читает отрывок из ""Мцыри"" и на словах ""и опрокинулся"" сам чуть не опрокинулся.Поиск по редкому имени-отчеству ""Автандил Степанович"" даёт только фильм ""Москва-Кассиопея"", но это явно не то.Время издания книги -- середина 80-х. Скорее даже, первая половина.Upd. Это С. Е. Полетаев (С. Е. Миримский). История двух беглецов2. Сборник повестей и/или рассказов. В одной из повестей ГГ -- школьник. Однажды он стал писать букву ""д"" с какой-то ""кочергой"". Отец это увидел и заставил ГГ много раз написать букву ""д"" нормально, без всяких лишних закорючек. Ещё в этой книге последней вроде была повесть ""Заячий хвостик"" (это не Петрушевская).Время издания книги -- вероятнее всего 70-е годы."
Черёмуха,Books&Literature, 16 июня 2011 г. 14:29   [нажмите здесь чтобы увидеть текст поста],,"Заели детские воспоминания. Каждый год, приезжая на каникулы к бабушке, читал книжку. Про солдата(вроде бы петровские времена) возвращавшегося со службы домой и остановившегося в деревне(уже не помню, его это родная деревня была или просто транзитом). А там свои страсти, вроде бы злобный какой-то помещик, и приказчик его, мелкий и противный, со своим помощником Дурындой(здоровенный детина с, как водится, умственным развитием дитяти). Вот Дурында и запомнился и еще один момент — этого самого Дурынду приказчик то ли подставил то ли еще что и пытался убить( ножом в спину).Кашу из топора солдат не варил, насколько помню "
Aryan,Books&Literature, 16 июня 2011 г. 14:44   [нажмите здесь чтобы увидеть текст поста],,"Черёмуха Это, случайно. не Борис Привалов Сказ про Игната-хитрого солдата? У знакомых на даче видела, очень сильно напоминает."
k2007,Books&Literature, 16 июня 2011 г. 20:20   [нажмите здесь чтобы увидеть текст поста],,"Черёмуха Aryan Гугл говорит, что да ссылка"
Черёмуха,Books&Literature, 17 июня 2011 г. 15:37   [нажмите здесь чтобы увидеть текст поста],,"Aryan k2007Точно, это оно, спасибо большое."
sviridova.ksenia,Books&Literature, 27 августа 2011 г. 17:11   [нажмите здесь чтобы увидеть текст поста],,"Помогите пожалуйста найти автора и название произведений!В 1997 были на отдыхе в санатории во Львовской области Немирове ,взяли в библиотеке книги-читали не отрываясь во время процедур и прогулок.Автор один кажется американец книги было три-сатира и черный юмор присутствуют.Описание такое:1""Главный герой(Гг) преподаватель в колледже или студент живет в старом здании отапливаемом газом приглашает на свидание девушку,с большим трудом добывает презервативы и целую коробку-чтобы скрыть такое количество-надувает их газом и выпускает в дымоход-в результате:весь двор в летающих презервативах и взрыв в комнате,кажется конец драматический"".2""Гг тоже пепод кажется, у него семья две дочки и жена.Как-то он был пьян и по дороге домой остановился по нужде возле розового куста-упал и поранился в интимном месте-дома в ванной взял стаканчик жены для полоскания рта и пытался в нем продезинфицировать все это дело-за этим был застукан детьми,намотал лейкопластыря побольше и утром пошел к врачу-результат был плачевный.""3""там,что-то связано с домом, зоопарком и биологическими отходами (это чем отапливался дом)-в конце там тоже что-то взорвалось или Гг туда упал."""
Пимыч,Books&Literature, 17 ноября 2011 г. 06:25   [нажмите здесь чтобы увидеть текст поста],,"Можно попробовать поспрашивать вот здесь   http://forum.arjlover.net/forumdisplay.ph...Там есть знающие люди, но только модеры звери, за каждую мелочь чуть ли не в баню."
Aryan,Books&Literature, 17 ноября 2011 г. 13:20   [нажмите здесь чтобы увидеть текст поста], про современных детей в царстве Кощея — по сказке Каверина — название сейчас забыл.,"цитата ЯэтоЯ про современных детей в царстве Кощея — по сказке Каверина — название сейчас забыл.  это вы случайно. не Верлиоку имеете в виду? Там, правда. не Кощей, но определенное сходсво имеется "
ЯэтоЯ,Books&Literature, 17 ноября 2011 г. 21:39   [нажмите здесь чтобы увидеть текст поста],"это вы случайно. не Верлиоку имеете в виду? Там, правда. не Кощей, но определенное сходсво имеется ","Aryanцитата Aryanэто вы случайно. не Верлиоку имеете в виду? Там, правда. не Кощей, но определенное сходсво имеется Нет. Он — фильм-спектакль — называется:Сказка о Мите и Маше, о веселом трубочисте и мастере ""золотые руки"""
ЯэтоЯ,Books&Literature, 17 ноября 2011 г. 22:54   [нажмите здесь чтобы увидеть текст поста],"Можно попробовать поспрашивать вот здесь   http://forum.arjlover.net/forumdisplay.ph...Там есть знающие люди, но только модеры звери, за каждую мелочь чуть ли не в баню.","Пимычцитата ПимычМожно попробовать поспрашивать вот здесь   http://forum.arjlover.net/forumdisplay.ph...Там есть знающие люди, но только модеры звери, за каждую мелочь чуть ли не в баню.Спасибо.Но я посмотрел их архив — там у них ничего из этих вещей нету...Да и для скачивания там они пишут — что цитата надо пользоваться специальными программами-качалками — а мне устанавливать их, разбираться как пользоваться и т.п. — не шибко охота...Хотя надо поглядеть, что у них есть — может что-нибудь и найду..."
