,Unnamed: 0,speaker,text,code
137660,137660,A,but it almost doesn't look like it's almost livable,sv
137661,137661,A,"yeah,",%
137662,137662,A,the best,%
137663,137663,A,"I, I don't think I could, I, I could handle those tennis balls.",sd
137664,137664,A,"So, what else to you tape besides AMERICAN at,",qw
137665,137665,A,there anything else?,qy
137666,137666,B,"Hey,",b
137667,137667,A,Huh?,br
137668,137668,B,see I tape MURDER SHE WROTE.,sd
137669,137669,A,Okay.,b
137670,137670,B,I like mysteries.,sd
137671,137671,A,"Oh, okay.",b
137672,137672,B,I like mysteries.,sd
137673,137673,B,"I tape, um, FATHER DOWLING, because that's another mystery,",sd
137674,137674,A,Uh-huh.,b
137675,137675,B,and I don't have to concentrate too hard on them.,sd
137676,137676,A,"But, I'm sure that's fun.",sv
137677,137677,B,"Um, most of the lawyer programs like, uh, LAW AND ORDER, they're not on the times that I've got, that I've watched because I haven't had T got, T V GUIDE around here in ages.",sd
137678,137678,A,Uh-huh.,b
137679,137679,A,"Oh, okay,",b
137680,137680,A,"well, they seem to be on later,",sd
137681,137681,B,Yeah.,b
137682,137682,A,"all,",%
137683,137683,A,"always right, right before the news is when I catch them.",sd
137684,137684,A,"I, I tend to, if nothing else is in the town television at eleven o'clock just to watch the news, and or, or NIGHTLINE or something, just sort of get a good, you know, a good, a good think for the day.",sd
137685,137685,B,Your news is on at eleven?,qy
137686,137686,A,Yes.,ny
137687,137687,A,When is yours on?,qw
137688,137688,B,"Ten,",sd
137689,137689,B,I was just in the middle of watching it.,sd
137690,137690,A,"Oh, gosh,",ba
137691,137691,A,"well, I'm sorry I interrupted, um,",fa
137692,137692,B,"Oh, that's okay.",bd
137693,137693,A,"Yeah,",b
137694,137694,A,"ours is on,",sd
137695,137695,B,No problem.,bd
137696,137696,A,"actually it,",%
137697,137697,A,ours is on at eleven,sd
137698,137698,A,"it, it's, um, eleven o'clock now here or eleven twenty-five now here in New York.",sd
137699,137699,A,"Um, I think they they do that,",%
137700,137700,A,"I think they put things on at, um, eleven o'clock here",sv
137701,137701,A,"and I think they put it like eleven o'clock, um, California time, like in California",sd
137702,137702,A,"but in the middle they sort of, um,",sd
137703,137703,A,"like central time or mountain time they, they push things back.",sd
137704,137704,A,"So, I was actually, actually",%
137705,137705,A,I'm not sure,h
137706,137706,A,", I was in, I was in Iowa awhile ago, and noticed that everything was an hour earlier,",sd
137707,137707,A,"so, does your prime time start at seven o'clock?",qy
137708,137708,B,"No,",nn
137709,137709,B,"well, they have it at six",sd
137710,137710,B,"and they have it at nine,",sd
137711,137711,A,"Wait,",ad
137712,137712,A,"no,",nn
137713,137713,A,"no,",nn
137714,137714,B,and they have one at ten.,sd
137715,137715,A,"not, not even the news",sd
137716,137716,A,"but do they have like, um,",qy
137717,137717,A,"do like sort of all the regular sitcoms and so forth, start at seven o'clock?",qy
137718,137718,A,"You,",%
137719,137719,A,"so, like, you know, the regular television shows that are, that are very popular, do they start at, seven or, or at eight?",qy
137720,137720,B,I'm trying to think.,h
137721,137721,B,"Both,",na
137722,137722,B,"um, let's see they start, um,",^h
137723,137723,B,EVENING SHADE at seven,sd
137724,137724,B,"and then it goes to, um,",sd
137725,137725,B,"what is it after EVENING, um,",t1
137726,137726,A,"Right,",b
137727,137727,A,because that would the eight o'clock here.,sd
137728,137728,B,that's MAJOR DAD at eight I think it is.,sd
137729,137729,A,"Yeah,",b
137730,137730,A,"that, that would all start at, at, um, that would all start at, at eight o'clock here,",sd
137731,137731,A,that wouldn't start at seven.,sd
137732,137732,A,"We have, um,",%
137733,137733,A,"at seven o'clock we just have, um,",sd
137734,137734,A,"the,",%
137735,137735,A,"they'll play, you know, they have old reruns of CHEERS or something from seven to seven thirty, and then something else from seven thirty to eight",sd
137736,137736,B,Huh.,b
137737,137737,A,"and ours start at, at, at, at eight and end at eleven,",sd
137738,137738,A,that's why we,%
137739,137739,A,". I, I would actually like it better if everything started at seven and ended at ten.",sv
137740,137740,B,"Yeah,",b
137741,137741,B,"it's, it's stopped around here at ten",sd
137742,137742,B,"and it goes into night programs, at that point which could be one of, you know, many different night programs",sd
137743,137743,B,but it goes into night programs.,sd
137744,137744,A,"Oh, that's great.",ba
137745,137745,B,"But, uh, do you ever watch CHEERS?",qy
137746,137746,A,"Oh, all the time.",na
137747,137747,A,Do you watch CHEERS,qy
137748,137748,B,"Oh, yeah,",ny
137749,137749,B,"oh, yeah.",ny
137750,137750,A,"it's at,",%
137751,137751,A,"that was actually a big dilemma for me now because, um, CHEERS, CHEERS and TWIN PEAKS are now on the same time,",sd
137752,137752,A,"So, Jan, how do they recycle in Texas?",qw
137753,137753,B,"Well, I,",%
137754,137754,B,"the biggest, uh, way it's going right now, uh, lot, most of the grocery stores have got, uh, things set up where you can bring in your, uh, plastic, and your cans, and newspapers.",sd
137755,137755,A,Uh-huh.,b
137756,137756,B,And then they've just got different barrels setting out,sd
137757,137757,B,", I shouldn't say barrels, like big John Doors or,  whatever they're, called. Gondolas",sd
137758,137758,A,Uh-huh.,b
137759,137759,A,Yeah.,b
137760,137760,A,Yeah.,b
137761,137761,B,"Um, they've got them set outside",sd
137762,137762,B,"and,",%
137763,137763,A,"Is it,  is it all voluntary?",qy
137764,137764,B,"uh,",b
137765,137765,B,Yes.,ny
137766,137766,B,It's all voluntary.,sd
137767,137767,B,"Now, they do have some places where you can take things and get cash",sd
137768,137768,A,Right.,b
137769,137769,A,Uh-huh.,b
137770,137770,B,"You know, they just want to, uh, help recycle. Which is,  what we do. You know,",sv
137771,137771,A,Yeah.,b
137772,137772,A,Uh-huh.,b
137773,137773,B,"we,",%
137774,137774,B,"probably the only thing, sometimes we'll take cash or the cans in",sd
137775,137775,B,and we let the kids get the money for that.,sd
137776,137776,A,Right.,b
137777,137777,A,Yeah.,b
137778,137778,B,"But, uh,",%
137779,137779,A,"There's,  a lot of projects where the, the Boy Scouts and things, and that will, collect your cans",sd
137780,137780,B,Right.,b
137781,137781,B,Right.,b
137782,137782,B,Yeah.,aa
137783,137783,B,"That's true,",aa
137784,137784,B,"but, but that's really the, the biggest thing around here is the grocery stores participating.",sd
137785,137785,A,Uh-huh.,b
137786,137786,B,"You know but,",%
137787,137787,A,"I guess, I,",%
137788,137788,A,"you see, I guess it depends on your landfill space.",sd
137789,137789,B,Uh-huh.,b
137790,137790,A,"I know, I,",%
137791,137791,A,"we're in Maryland,",sd
137792,137792,A,"but, my,",%
137793,137793,A,I from Pennsylvania *missing copula?,sd
137794,137794,A,"and my parents how, are forced recycling,",sd
137795,137795,B,"Oh,  really?",bh
137796,137796,A,"uh,",b
137797,137797,A,Yeah.,b
137798,137798,B,"Oh, wow.",ba
137799,137799,A,"Uh, Pennsylvania, Ohio, and New York are some of the, uh,",sv
137800,137800,A,they're using their landfills up faster than they can get new ones.,sv
137801,137801,B,Yeah.,b
137802,137802,A,"So, it's really, uh, it's, uh, really hard on them.",sv
137803,137803,A,"Now, up here in Maryland, though, we're just in a voluntary recycling stage right now.",sd
137804,137804,A,"So, uh, so my wife and I, you know, we save our bottles,",sd
137805,137805,A,"and we save our newspapers,",sd
137806,137806,A,"and we save all our plastic, and all of our tin cans.",sd
137807,137807,A,"And just like you say, we go to, uh, a community area where they have it set up",sd
137808,137808,A,and we dump them off there.,sd
137809,137809,B,"So, it's",qy^d
137810,137810,A,Yeah.,ny
137811,137811,A,"It's still voluntary,  though I think, I think we're supposed to have something implemented by nineteen ninety-three, though where some aspects will be mandatory.",sd
137812,137812,B,you say it is all voluntary.,sd
137813,137813,B,"Do they,",qy
137814,137814,B,Will it be mandatory?,qy
137815,137815,A,Uh-huh.,b
137816,137816,B,"Is it all, um,",qy
137817,137817,B,is there any place at all where you do get cash for this stuff,qy
137818,137818,B,"or is it all,",qrr
137819,137819,A,Mostly just the cans.,sd
137820,137820,B,Okay.,bk
137821,137821,A,"And I,",%
137822,137822,B,Yeah.,b
137823,137823,B,"And that's,",%
137824,137824,A,"and most of the time, like I said, that's, that's a sort of like fund raiser things that, the schools do, or that the Boy Scouts do, or whatever.",sv
137825,137825,B,Right.,b
137826,137826,B,Right.,b
137827,137827,A,Yeah.,b
137828,137828,B,Yeah.,aa
137829,137829,B,That's true.,aa
137830,137830,B,"That's,",%
137831,137831,A,Cans are the only thing I think you really get money for.,sv
137832,137832,B,"Well, they do have places around here where you can get money for your newspapers,  and stuff like that.",ar
137833,137833,A,Uh-huh.,b
137834,137834,B,"But, you know, I think a lot of people, like I said, are more concerned, with, you know, right now, you know, the aspects of saving the earth",sv
137835,137835,A,Right.,b
137836,137836,A,Uh-huh.,b
137837,137837,A,"Yeah,",b
137838,137838,A,"I think that's mostly,",sv
137839,137839,A,"well, you know, we,",%
137840,137840,A,"even before,",%
137841,137841,A,"as soon as the community said, you know, We're going to put up bins for recycling, you know, we automatically started, doing it.",sd
137842,137842,A,"It was, it's one of those things,",sv
137843,137843,B,Right.,b
137844,137844,A,"you know, and just going and taking the time to go and read the signs and the brochures on what they accept and how it should be, separated, you know.",sd
137845,137845,B,Uh-huh.,b
137846,137846,A,"That's,",%
137847,137847,B,"Well, I tell you, it's kind of funny now at, even at T I, I don't,",sd
137848,137848,B,do you work for T I?,qy
137849,137849,A,No.,nn
137850,137850,A,Huh-uh.,nn
137851,137851,B,Okay.,bk
137852,137852,B,"Um, at T I they're doing recycling.",sd
137853,137853,B,"I mean, for a long time they didn't do this,",sd
137854,137854,B,"but now they're, they're recycling cans and paper.",sd
137855,137855,B,"We have separate bins uh, separate wastebaskets in our offices for paper.",sd
137856,137856,A,Yeah.,b
137857,137857,A,Uh-huh.,b
137858,137858,A,Yeah.,b
137859,137859,B,"You know, and they,",%
137860,137860,B,I mean it's tremendous how much money they have saved and even saving all these trees,sd
137861,137861,B,"and, you know it's really,",sd
137862,137862,A,Right.,b
137863,137863,B,"I can't believe that you know. Because they've got it all posted all over the place how much,  they're saving and how",sd
137864,137864,A,Yeah.,b
137865,137865,A,"How much, how well they're doing.",^2
137866,137866,B,yeah.,%
137867,137867,A,"We do,",%
137868,137868,A,"I, um, I, I work in a, uh, speech interface lab,  at a, at a, at a college.",sd
137869,137869,B,"Oh, okay.",b
137870,137870,A,And we do basically the same thing.,sd
137871,137871,A,"The state of Maryland has lost, asked all the colleges and universities, and some of the large organizations, you know, if they would definitely recycle their office paper.",sd
137872,137872,B,Uh-huh.,b
137873,137873,B,Uh-huh.,b
137874,137874,A,"But, you know, in the giant bins around,",sd
137875,137875,A,"and it's surprising how much you never realize, because that janitor comes around and empties your garbage,  can every night.",sv
137876,137876,B,Yeah.,b
137877,137877,B,Right.,b
137878,137878,B,Yep.,b
137879,137879,A,"You don't notice until,  you start leaving,",sv
137880,137880,A,"you know, they don't pick up your recycling until it's full you just can't believe how much paper that you, uh,",sd
137881,137881,B,Right.,b
137882,137882,B,I know,ba
137883,137883,A,"Reams of paper come,  out of an office every day That , took us to recycle.",sv
137884,137884,B,"Well, you think about, the waste, even.",sv
137885,137885,A,Uh-huh.,b
137886,137886,B,"I mean, you know, cost wise and and, you know, like you saving trees and stuff like that.",sv
137887,137887,A,Right.,b
137888,137888,B,"I mean, it's just amazing, you know,  the difference.",sd
137889,137889,A,Yeah.,b
137890,137890,A,"So, I think,  Hopefully, if,",sv
137891,137891,A,"you know, I guess a lot of the large organizations, probably T I, did they advertise on television how successful they are?",qy
137892,137892,B,"I haven't seen, anything.",sd
137893,137893,A,Yeah.,b
137894,137894,B,"Uh, but that doesn't mean that they don't.",sv
137895,137895,B,"I don't watch much T V,",sd
137896,137896,A,Yeah.,b
137897,137897,B,"but, I haven't really seen anything advertise publicly.",sd
137898,137898,A,Uh-huh.,b
137899,137899,B,"And then, like I said, they do a lot of internal,  advertising on that kind of stuff.",sd
137900,137900,A,Internal.,b^m
137901,137901,A,Uh-huh.,b
137902,137902,B,"But, I haven't seen anything.",sd
137903,137903,A,Yeah.,b
137904,137904,B,"But see, I don't see a lot of T I advertisements on T V anyway.",sd
137905,137905,B,"I think they advertise more, um, other places where they're not located.",sv
137906,137906,A,Right.,aa
137907,137907,A,Yeah.,aa
137908,137908,A,"That would probably,  be true.",aa
137909,137909,B,"You know. So,  So, I don't see a lot of advertisements for T I.",sd
137910,137910,A,Yeah.,b
137911,137911,A,"Because I know that some of the large industries here will advertise on television,",sd
137912,137912,A,"you know, they'll come up and say,",sd
137913,137913,A,"you know, they'll show you to encourage to encourage recycling.",sd
137914,137914,A,"They'll,  say,",sd
137915,137915,B,Right.,b
137916,137916,A,"And here, those of us that Dumavra Power, which is our power company, that,",^q
137917,137917,B,Uh-huh.,b
137918,137918,A,"we now recycle forty-five percent of our solid waste,",^q
137919,137919,B,Right,b
137920,137920,A,"and they,",%
137921,137921,A,"and that,",%
137922,137922,A,"we do this for the community,",^q
137923,137923,A,they put those on.,sv
137924,137924,A,"So I, so I think, you know, we're probably reaching a successful stage and, and just with voluntary, I think.",sv
137925,137925,B,Right.,b
137926,137926,B,"Well, even, I mean, in the kid's schools, I mean they do things to try and recycle.",sv
137927,137927,A,Uh-huh.,b
137928,137928,B,"And, I know my kids, um, like if they see litter on the ground they pick it up and say, Oh, look at that. Somebody is not saving the earth, you know.",sd
