,speaker,text,code
178682,B,"Well, I, I work, uh,",arp_nd
178683,B,I'm a C P A,sd
178684,B,and I do contract work.,sd
178685,A,"Oh, uh-huh.",bk
178686,B,"And so, and I work with another C P A who just started his own practice",sd
178687,A,Oh.,b
178688,B,and I work with him a couple days a week,sd
178689,A,Uh-huh.,b
178690,B,"and so when I go to his office or to other clients' offices, then I'll dress up",sd
178691,A,Uh-huh.,b
178692,B,but otherwise it's great being at home in jeans or shorts or whatever,sd
178693,A,Uh-huh.,b
178694,A,"Uh-huh,",b
178695,A,uh-huh.,b
178696,B,"So that, that makes it pretty nice.",sd
178697,B,"It's kind of weird because before I used to work, you know, full time",sd
178698,A,Uh-huh.,b
178699,B,"and, and, uh, it seemed like I was wearing a suit every day, just about.",sd
178700,A,"Well, you'd have to dress differently when you're working every day, I think.",sv
178701,B,Right.,b
178702,A,Yeah.,b
178703,B,"Right,",b
178704,B,"and so it's, uh,",%
178705,B,some of my suits I haven't put on for quite a while.,sd
178706,A,"Uh-huh,",b
178707,A,uh-huh.,b
178708,A,Uh-huh.,b
178709,B,"So it's, It's, it's very nice.",sd
178710,A,It's kind of nice to relax a little bit.,sd
178711,A,Yeah.,b
178712,B,"Gosh,",b
178713,A,"Well, my, my dress up,",sd
178714,A,I live out in the country also,sd
178715,A,so what I wear depends on the weather.,sd
178716,B,Uh-huh.,b
178717,B,Sure.,b
178718,A,"Uh, so I really, I know a lot of the Avon representatives are portrayed as being very dressed up.",sd
178719,B,Uh-huh.,b
178720,A,"But, I mostly dress, I try to dress nice, but for convenience, because when the weather's bad, when I go into the home I take off my shoes which I try to wear something easy to take off, you know and put on.",sd
178721,B,Uh-huh.,b
178722,B,Right.,b
178723,A,"And I don't too often take off my coat even, we really only have maybe three, four months of, I'd say warm weather.",sd
178724,B,"Yeah,",b
178725,B,yeah.,b
178726,B,"Well, I imagine that where you live, uh, you're in warm clothing quite a bit of the year.",sv
178727,B,Not really?,qy
178728,B,"Oh, is that right?",bh
178729,A,"Yeah,",ny
178730,A,"and the rest is, uh, gets into the cooler weather.",sd
178731,B,Uh-huh.,b
178732,A,Uh-huh.,b
178733,A,"Course, they keep saying the weather's going to change and we're going to have more Florida type weather up here",sd
178734,A,so I don't know.,h
178735,B,Uh-huh.,b
178736,A,"But for now, But for now, we have a lot of ice and snow in the wintertime and, uh, cold weather. And that type of thing.",sd
178737,B,So you all are waiting for that,sv
178738,B,Uh-huh.,b
178739,B,Yeah.,b
178740,A,"Now, my daughter works all the time,",sd
178741,A,so she dresses.,sd
178742,A,"I think, you know, you have to spend more money on your clothing, and that because you do have to have the appearance, a good appearance to do a good job where you work.",sv
178743,B,Right.,b
178744,B,Right.,b
178745,B,Yeah.,b
178746,B,"Well, down here it's sunny most of the time. And, uh, usually warm.",sd
178747,A,Uh-huh.,b
178748,B,"I mean, we had a few cool days, uh, this month,",sd
178749,B,"but not anything, I'm sure, compared to what you've had so far.",sd
178750,A,"Um, uh-huh.",b
178751,B,"So, I mean people are still wearing shorts",sd
178752,B,"and and, uh, usually around Halloween it starts getting cooler,",sd
178753,A,Uh-huh.,b
178754,B,"so you start you know, breaking out a coat at that time,",sd
178755,A,Uh-huh.,b
178756,A,"Uh-huh,",b
178757,A,uh-huh.,b
178758,A,"Right,",b
178759,A,yeah.,b
